Strategy,Avg_Return_Per_Asset_pct,Median_Return_pct,Total_Trades_Executed,Profitable_Assets_Count,Average_Win_Rate_pct,Global_Profit_Factor,Avg_Win_Return_pct,Avg_Loss_Return_pct,Win_Loss_Ratio,Sharpe_Ratio,Recovery_Factor,Max_Drawdown_pct,Market_Coverage_Hit_Rate_pct,Long_Avg_Return_Per_Asset_pct,Long_Median_Return_pct,Long_Total_Trades_Executed,Long_Average_Win_Rate_pct,Long_Global_Profit_Factor,Long_Avg_Win_Return_pct,Long_Avg_Loss_Return_pct,Long_Win_Loss_Ratio,Long_Max_Drawdown_pct,Long_Sharpe_Ratio,Long_Recovery_Factor,Long_Profitable_Assets_Count,Long_Market_Coverage_Hit_Rate_pct,Short_Avg_Return_Per_Asset_pct,Short_Median_Return_pct,Short_Total_Trades_Executed,Short_Average_Win_Rate_pct,Short_Global_Profit_Factor,Short_Avg_Win_Return_pct,Short_Avg_Loss_Return_pct,Short_Win_Loss_Ratio,Short_Max_Drawdown_pct,Short_Sharpe_Ratio,Short_Recovery_Factor,Short_Profitable_Assets_Count,Short_Market_Coverage_Hit_Rate_pct
Momentum_20,31.65,2.71,245478,250,49.78,1.058,1.8,-1.71,1.049,0.007,1.249,-89.94,52.52,73.05,28.73,145502,49.68,1.187,1.88,-1.58,1.181,-85.56,0.259,3.665,353,74.16,-18.94,-20.16,99976,49.92,0.915,1.69,-1.91,0.901,-82.59,-0.591,-0.321,91,19.12
Trend_Filter,6.15,-15.62,441732,185,49.84,1.011,1.62,-1.62,1.002,-0.135,0.347,-93.94,38.87,84.78,33.75,203055,49.61,1.156,1.77,-1.51,1.159,-82.36,0.306,3.67,332,69.75,-37.49,-42.9,238677,50.03,0.906,1.5,-1.71,0.889,-89.83,-0.641,-0.6,40,8.4
Volume_Spike,8.23,4.5,22263,268,48.61,1.281,2.44,-2.0,1.266,-0.421,1.331,-73.13,56.3,8.23,4.5,22263,48.61,1.281,2.44,-2.0,1.266,-73.13,-0.421,1.331,268,56.3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Turtle_Breakout,11.86,3.28,26387,286,49.67,1.266,2.02,-1.65,1.221,-0.423,1.529,-83.98,60.08,11.86,3.28,26387,49.67,1.266,2.02,-1.65,1.221,-83.98,-0.423,1.529,286,60.08,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
EMA21_Mean_Reversion,-3.07,-2.32,57743,217,50.67,1.025,1.82,-1.95,0.966,-0.476,0.35,-89.52,45.59,8.41,6.59,21245,51.03,1.329,2.12,-1.84,1.194,-63.04,-0.455,1.124,327,68.7,-10.41,-7.3,36498,50.46,0.95,1.64,-2.02,0.873,-90.25,-0.822,-0.013,171,35.92
MACD_Histogram_Momentum,6.81,3.64,17757,290,49.85,1.348,1.85,-1.52,1.264,-0.673,1.204,-38.37,60.92,6.81,3.64,17757,49.85,1.348,1.85,-1.52,1.264,-38.37,-0.673,1.204,290,60.92,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Volatility_Breakout,6.67,2.17,11711,267,48.94,1.411,2.52,-1.92,1.364,-0.696,1.405,-41.54,56.09,6.67,2.17,11711,48.94,1.411,2.52,-1.92,1.364,-41.54,-0.696,1.405,267,56.09,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Bollinger_Mean_Reversion,3.44,1.98,11331,267,49.52,1.384,1.87,-1.58,1.266,-0.978,1.091,-30.7,56.09,3.44,1.98,11331,49.52,1.384,1.87,-1.58,1.266,-30.7,-0.978,1.091,267,56.09,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Support_Bounce,6.21,5.82,9827,330,52.23,1.852,1.79,-1.38,1.413,-0.979,1.791,-32.03,69.33,6.21,5.82,9827,52.23,1.852,1.79,-1.38,1.413,-32.03,-0.979,1.791,330,69.33,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
EMA_Crossover,5.04,3.63,9595,313,50.77,1.685,1.85,-1.42,1.395,-1.061,1.575,-46.26,65.76,5.04,3.63,9595,50.77,1.685,1.85,-1.42,1.395,-46.26,-1.061,1.575,313,65.76,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
RSI_Overbought,-2.02,-1.36,9026,202,49.18,1.166,1.7,-1.87,1.034,-1.333,0.371,-38.64,42.44,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-2.02,-1.36,9026,49.18,1.166,1.7,-1.87,1.034,-38.64,-1.333,0.371,202,42.44
RSI_Oversold,3.34,2.56,5086,316,53.3,2.717,2.07,-1.67,1.572,-1.445,2.466,-28.76,66.39,3.34,2.56,5086,53.3,2.717,2.07,-1.67,1.572,-28.76,-1.445,2.466,316,66.39,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
BB_Squeeze_Breakout,1.76,0.5,4087,251,49.35,2.256,2.02,-1.63,1.622,-1.9,1.919,-28.84,52.73,1.76,0.5,4087,49.35,2.256,2.02,-1.63,1.622,-28.84,-1.9,1.919,251,52.73,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
SuperTrend_Mimic,0.34,-0.55,1373,180,46.18,2.246,3.42,-2.85,1.409,-2.944,1.734,-46.03,37.82,0.34,-0.55,1373,46.18,2.246,3.42,-2.85,1.409,-46.03,-2.944,1.734,180,37.82,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Golden_Cross,0.22,0.14,1214,226,51.48,5.47,1.27,-1.18,2.531,-8.444,1.562,-12.08,47.48,0.22,0.14,1214,51.48,5.47,1.27,-1.18,2.531,-12.08,-8.444,1.562,226,47.48,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
